id,word,deng,ji,situation,wfreq,sfreq,newlink,bopomofo,pinyin
1,愛,基礎,第1級,核心詞,535,681,"[['愛', ['39542']]]",ㄞˋ,ài
2,吧,基礎,第1級,核心詞,706,748,"[['吧', ['32', '103']]]",˙ㄅㄚ,ba
3,八,基礎,第1級,核心詞,214,163,"[['八', ['1']]]",ㄅㄚ,bā
4,爸爸/爸,基礎,第1級,核心詞,226,806,"[['爸爸', ['82']], ['爸', ['81']]]",ㄅㄚˋ ˙ㄅㄚ / ㄅㄚˋ,bàba / bà
5,百,基礎,第1級,核心詞,108,77,"[['百', ['157', '334']]]",ㄅㄞˇ,bǎi
6,半,基礎,第1級,核心詞,334,279,"[['半', ['960']]]",ㄅㄢˋ,bàn
7,本,基礎,第1級,核心詞,745,368,"[['本', ['1054']]]",ㄅㄣˇ,běn
8,不,基礎,第1級,核心詞,9278,8951,"[['不', ['1911', '5466']]]",ㄅㄨˋ,bù
9,茶,基礎,第1級,餐飲、烹飪,89,449,"[['茶', ['31581']]]",ㄔㄚˊ,chá
10,車子/車,基礎,第1級,核心詞,275,320,[],ㄔㄜ ˙ㄗ / ㄔㄜ,chēzi / chē
11,吃,基礎,第1級,核心詞,668,1438,"[['吃', ['21385', '31362']]]",ㄔ,chī
12,吃飯,基礎,第1級,核心詞,60,140,[],ㄔ ㄈㄢˋ,chīfàn
13,打,基礎,第1級,核心詞,352,364,"[['打', ['6762']]]",ㄉㄚˇ,dǎ
14,大,基礎,第1級,核心詞,2110,2859,"[['大', ['6933', '7483']]]",ㄉㄚˋ,dà
15,帶,基礎,第1級,核心詞,450,684,"[['帶', ['7560']]]",ㄉㄞˋ,dài
16,大家,基礎,第1級,核心詞,464,1712,"[['大家', ['7168', '45136']]]",ㄉㄚˋ ㄐㄧㄚ,dàjiā
17,到,基礎,第1級,核心詞,2297,3229,"[['到', ['7667']]]",ㄉㄠˋ,dào
18,大學,基礎,第1級,教育、學習,380,219,"[['大學', ['7237']]]",ㄉㄚˋ ㄒㄩㄝˊ,dàxué
19,的,基礎,第1級,核心詞,62002,62578,"[['的', ['7457', '8310', '8568']]]",ㄉㄜ˙,de
20,點,基礎,第1級,核心詞,479,684,"[['點', ['8812']]]",ㄉㄧㄢˇ,diǎn
21,電話,基礎,第1級,核心詞,167,72,"[['電話', ['8938']]]",ㄉㄧㄢˋ ㄏㄨㄚˋ,diànhuà
